,DEPARTAMENTO,PROVINCIA,DISTRITO,CENTRO POBLADO,LATITUD,LONGITUD,VIVIENDAS,POBLACIÓN,RANGO_POB
3620,LORETO,REQUENA,SAQUENA,28 DE JULIO,-4.596255,-73.519665,9,43,100
3621,LORETO,ALTO AMAZONAS,BALSAPUERTO,NARANJILLO,-5.919148,-76.434315,10,42,100
3622,LORETO,REQUENA,PUINAHUA,SAN JUAN DE PAUCAR,-5.198005,-74.295982,11,42,100
3623,LORETO,MAYNAS,FERNANDO LORES,SAN LORENZO DE MUYUY,-3.900887,-73.223078,8,41,100
3624,LORETO,REQUENA,CAPELO,NUEVO ZAPOTE,-5.20497,-74.110522,13,41,100
3625,LORETO,MAYNAS,FERNANDO LORES,ISLA DE FATIMA,-3.900208,-73.178793,9,40,100
3626,LORETO,MARISCAL RAMON CASTILLA,SAN PABLO,SANTA ROSA DE PUCA PLAYA,-3.844045,-71.281995,7,40,100
3627,LORETO,PUTUMAYO,TENIENTE MANUEL CLAVERO,NUEVO PENEYA,-0.301292,-74.733012,10,38,100
3628,LORETO,REQUENA,EMILIO SAN MARTIN,QUINCE DE JULIO,-5.765588,-74.430692,7,37,100
3629,LORETO,REQUENA,TAPICHE,PUERTO ARCE,-5.755082,-74.15739,9,37,100
3630,LORETO,MAYNAS,FERNANDO LORES,8 DE MAYO,-4.152968,-73.248573,9,36,100
3631,LORETO,MAYNAS,INDIANA,AGUSTO SALAZAR BONDI,-3.488908,-72.84238,6,36,100
3632,LORETO,REQUENA,MAQUIA,CONDORCANQUI,-5.950735,-74.682698,10,36,100
3633,LORETO,MAYNAS,FERNANDO LORES,COLLPA,-3.98361,-73.168673,6,35,100
3634,LORETO,MAYNAS,FERNANDO LORES,TARAPOTO ISLA,-3.917037,-73.179047,8,34,100
3635,LORETO,REQUENA,EMILIO SAN MARTIN,TUPAC AMARU,-5.765853,-74.330112,8,34,100
3636,LORETO,ALTO AMAZONAS,TENIENTE CESAR LOPEZ ROJAS,SAN PEDRO DE MAYRUJAY,-5.991239,-76.062518,12,33,100
3637,LORETO,MAYNAS,LAS AMAZONAS,PORTUGAL,-3.451317,-72.667678,7,32,100
3638,LORETO,REQUENA,CAPELO,LOS ANGELES,-5.498358,-74.116793,10,32,100
3639,LORETO,MAYNAS,FERNANDO LORES,PUEBLO LIBRE,-3.965253,-73.1883,9,31,100
3640,LORETO,MAYNAS,FERNANDO LORES,CENTRO YACAPANA,-4.177802,-73.32455,8,31,100
3641,LORETO,MAYNAS,FERNANDO LORES,CONTAMANILLO,-3.857038,-73.163975,6,31,100
3642,LORETO,MAYNAS,BELEN,NUEVO JERUSALEN,-3.674443,-73.20447,5,28,100
3643,LORETO,REQUENA,PUINAHUA,NUEVA INDEPENDENCIA,-5.535892,-74.509442,7,28,100
3644,LORETO,MAYNAS,FERNANDO LORES,JUSTICIA II ZONA,-4.114143,-73.302762,7,27,100
3645,LORETO,LORETO,NAUTA,LAS PALMAS,-4.581402,-73.718045,5,26,100
3646,LORETO,MARISCAL RAMON CASTILLA,RAMON CASTILLA,PUERTO INCA,-3.892005,-70.543123,5,26,100
3647,LORETO,REQUENA,CAPELO,NUEVO IQUITOS,-5.459408,-74.176005,6,26,100
3648,LORETO,UCAYALI,SARAYACU,NUEVO LUCERO,-6.282965,-75.118072,6,26,100
3649,LORETO,MAYNAS,BELEN,DOS DE MAYO,-3.674286,-73.201463,9,25,100
3650,LORETO,REQUENA,EMILIO SAN MARTIN,TAHUANTINSUYO,-5.765752,-74.437357,7,25,100
3651,LORETO,PUTUMAYO,TENIENTE MANUEL CLAVERO,MIRAFLORES,-0.285498,-74.750428,7,25,100
3652,LORETO,REQUENA,MAQUIA,PERLA DE CAMUNGUY,-5.714977,-74.5412,4,24,100
3653,LORETO,MAYNAS,FERNANDO LORES,9 DE DICIEMBRE,-3.889267,-73.210908,4,23,100
3654,LORETO,MAYNAS,FERNANDO LORES,TAPIRILLO,-4.161807,-73.231072,8,22,100
3655,LORETO,REQUENA,PUINAHUA,SAN JOSE,-5.21073,-74.320125,4,22,100
3656,LORETO,MAYNAS,FERNANDO LORES,SAN JOSE DE AMAZONAS,-4.166645,-73.273365,5,19,100
3657,LORETO,MAYNAS,BELEN,SANTA ZULEMA,-3.622065,-73.156665,4,19,100
3658,LORETO,MARISCAL RAMON CASTILLA,RAMON CASTILLA,1 DE SETIEMBRE,-3.875535,-70.550085,4,19,100
3659,LORETO,REQUENA,MAQUIA,NUEVO PROGRESO,-5.885145,-74.651773,4,19,100
3660,LORETO,REQUENA,MAQUIA,MONTEVIDEO,-6.009763,-74.650803,8,19,100
3661,LORETO,MAYNAS,BELEN,NUEVO BELEN,-3.744218,-73.191859,4,18,100
3662,LORETO,LORETO,URARINAS,BUENOS AIRES,-4.695982,-74.874723,3,17,100
3663,LORETO,LORETO,URARINAS,BERLIN,-4.657482,-74.78762,6,16,100
3664,LORETO,MARISCAL RAMON CASTILLA,RAMON CASTILLA,SAN SALVADOR II ZONA,-3.84748,-70.600755,4,16,100
3665,LORETO,LORETO,PARINARI,6 DE SETIEMBRE,-4.646238,-74.211288,3,14,100
3666,LORETO,MARISCAL RAMON CASTILLA,RAMON CASTILLA,23 DE JULIO DE LAS FRONTERAS,-3.842479,-70.594987,4,14,100
3667,LORETO,MAYNAS,FERNANDO LORES,JUSTICIA I ZONA,-4.117058,-73.292998,5,13,100
3668,LORETO,REQUENA,EMILIO SAN MARTIN,SAN ANTONIO VIEJO,-5.66741,-74.250102,1,13,100
3669,LORETO,REQUENA,REQUENA,NUEVO TARMA,-5.123385,-74.070622,3,10,100
3670,LORETO,MARISCAL RAMON CASTILLA,PEBAS,SANTA ISABEL DE CHAMBIRA (CHAMBIRA),-3.467632,-72.107497,3,9,10
3671,LORETO,REQUENA,REQUENA,NUEVO SAN ANTONIO,-4.996636,-73.788133,4,9,10
3672,LORETO,MAYNAS,BELEN,SANTA CRUZ,-3.652002,-73.184151,1,7,10
3673,LORETO,REQUENA,EMILIO SAN MARTIN,NUEVO SAN ANTONIO,-5.671662,-74.27765,2,2,10
3674,MADRE DE DIOS,TAMBOPATA,INAMBARI,PUERTO MAZUKO,-13.090528,-70.39145,50,177,1000
3675,MADRE DE DIOS,MANU,HUEPETUHE,BAMBERME,-13.012593,-70.659838,36,106,1000
3676,MADRE DE DIOS,MANU,MADRE DE DIOS,SETAPO,-12.968502,-70.647218,17,64,100
3677,MADRE DE DIOS,MANU,HUEPETUHE,SETAPO,-13.022499,-70.66757,11,22,100
3678,MADRE DE DIOS,MANU,HUEPETUHE,ARCO IRIS,-12.939392,-70.603532,5,13,100
3679,MOQUEGUA,MARISCAL NIETO,TORATA,YACANGO,-17.093655,-70.865401,288,783,1000
3680,MOQUEGUA,GENERAL SANCHEZ CERRO,COALAQUE,COALAQUE,-16.649001,-71.021666,122,364,1000
